ID,SFR,Reference,ID_2MASS,RA_2MASS,DEC_2MASS,eRA_2MASS,eDEC_2MASS,Jmag,Hmag,Kmag,eJmag,eHmag,eKmag,Qflg,ID_GaiaDR1,RA_GaiaDR1,DEC_GaiaDR1,eRA_GaiaDR1,eDEC_GaiaDR1,Gmag,eGmag,GLON_GaiaDR1,GLAT_GaiaDR1,ID_UCAC5,RA_UCAC5,DEC_UCAC5,eRA_UCAC5,eDEC_UCAC5,pmRA_UCAC5,pmDEC_UCAC5,epmRA_UCAC5,epmDEC_UCAC5,ID_SPM4,RA_SPM4,DEC_SPM4,eRA_SPM4,eDEC_SPM4,pmRA_SPM4,pmDEC_SPM4,epmRA_SPM4,epmDEC_SPM4,ID_TGAS,RA_TGAS,DEC_TGAS,eRA_TGAS,eDEC_TGAS,pmRA_TGAS,pmDEC_TGAS,epmRA_TGAS,epmDEC_TGAS,PLX_TGAS,ePLX_TGAS,ID_HSOY,RA_HSOY,DEC_HSOY,eRA_HSOY,eDEC_HSOY,pmRA_HSOY,pmDEC_HSOY,epmRA_HSOY,epmDEC_HSOY,imag_HSOY,Binary,binREF,pmRA_ALL,pmDEC_ALL,rvALL,pmRA_final,pmDEC_final,epmRA_final,epmDEC_final,pmREF_final,RV_final,eRV_final,rvREF_final,GLON,GLAT,pmGLON,pmGLAT,pmPAR,pmPERP,kinPLX1,ekinPLX1,kinPLX2,ekinPLX2,PLX_final,ePLX_final,refPLX_final,d_TGAS,dmax_TGAS,dmin_TGAS,d_kinPLX1,dmax_kinPLX1,dmin_kinPLX1,d_kinPLX2,dmax_kinPLX2,dmin_kinPLX2,d_final,dmax_final,dmin_final,Ugal,Vgal,Wgal,Vspace,Ugal_max,Vgal_max,Wgal_max,Vspace_max,Ugal_min,Vgal_min,Wgal_min,Vspace_min,Xgal_TGAS,Ygal_TGAS,Zgal_TGAS,Xgal_max_TGAS,Ygal_max_TGAS,Zgal_max_TGAS,Xgal_min_TGAS,Ygal_min_TGAS,Zgal_min_TGAS,Xgal_kinPLX1,Ygal_kinPLX1,Zgal_kinPLX1,Xgal_max_kinPLX1,Ygal_max_kinPLX1,Zgal_max_kinPLX1,Xgal_min_kinPLX1,Ygal_min_kinPLX1,Zgal_min_kinPLX1,Xgal_kinPLX2,Ygal_kinPLX2,Zgal_kinPLX2,Xgal_max_kinPLX2,Ygal_max_kinPLX2,Zgal_max_kinPLX2,Xgal_min_kinPLX2,Ygal_min_kinPLX2,Zgal_min_kinPLX2,Xgal_final,Ygal_final,Zgal_final,Xgal_max_final,Ygal_max_final,Zgal_max_final,Xgal_min_final,Ygal_min_final,Zgal_min_final,Xeq_TGAS,Yeq_TGAS,Zeq_TGAS,Xeq_max_TGAS,Yeq_max_TGAS,Zeq_max_TGAS,Xeq_min_TGAS,Yeq_min_TGAS,Zeq_min_TGAS,Xeq_kinPLX1,Yeq_kinPLX1,Zeq_kinPLX1,Xeq_max_kinPLX1,Yeq_max_kinPLX1,Zeq_max_kinPLX1,Xeq_min_kinPLX1,Yeq_min_kinPLX1,Zeq_min_kinPLX1,Xeq_kinPLX2,Yeq_kinPLX2,Zeq_kinPLX2,Xeq_max_kinPLX2,Yeq_max_kinPLX2,Zeq_max_kinPLX2,Xeq_min_kinPLX2,Yeq_min_kinPLX2,Zeq_min_kinPLX2,Xeq_final,Yeq_final,Zeq_final,Xeq_max_final,Yeq_max_final,Zeq_max_final,Xeq_min_final,Yeq_min_final,Zeq_min_final,CPSM,CTRL
Hip75916,US,1999AJ....117..354D,2MASSJ15302162-2036481,232.590118,-20.613367,0.06,0.06,8.567,8.237,8.215,0.021,0.029,0.028,AAE,6253617209273231360,232.5900462798,-20.6134550184,0.205,0.161,9.609,0.000751846751159133,345.9316419811,28.6917981185,6253617209273231360,232.5901347,-20.6133542,0,0,-19.5,-23.7,1.5,1.5,6450000072,232.5901357,-20.613368,18.8,18.1,-18.87,-22.8,1.37,1.31,6253617209273231360,232.5900462798,-20.6134550184,0.205,0.161,-19.63,-23.43,0.176,0.071,6.84,0.390512483795333,6253617209273231360,232.5901334757,-20.6133573335,0.204,0.159,-19.587,-23.444,0.085,0.043,9.82,-,---,-19.5[1.5];-18.87[1.37],-23.7[1.5];-22.8[1.31],-32[1.2];-31.3[0.3],-19.63,-23.43,0.176,0.071,TGAS,-31.3,0.3,2011ApJ...738..122C,345.931721212847,28.6918747605698,-30.1369076444133,-5.1057416338963,-30.1921787696698,4.76803325704643,1.26383839025952,0.185856666310481,7.96508721613931,0.705362888146024,6.84,0.390512483795333,TGAS,147.111269208949,157.216520251981,139.99366077715,816.670687150312,1020.32437516753,737.477118432464,127.482362099024,142.906488964221,118.697337728251,147.111269208949,157.216520251981,139.99366077715,-30.1864921238984,-14.3294493300604,-17.8165921345088,37.8680390320966,-29.329515160083,-13.1482155549513,-16.4991145031207,39.8865375010558,-31.117365018519,-15.9473068704026,-19.1918959904588,36.1291684265233,125.177529537215,-31.3687566162624,70.6279883302459,133.776125468866,-33.5235144551391,75.4795102875999,119.121129884783,-29.8510582931661,67.2108309094476,694.908144105093,-174.139915715549,392.082864024378,868.19782941757,-217.565297114051,489.856816883569,627.522040099318,-157.253352258912,354.062102750881,108.475219015742,-27.1832553077263,61.204167641661,121.599666290488,-30.4721650170532,68.6092771081021,101.000008900494,-25.3100113826582,56.9864853248928,125.177529537215,-31.3687566162624,70.6279883302459,133.776125468866,-33.5235144551391,75.4795102875999,119.121129884783,-29.8510582931661,67.2108309094476,-83.6501612969428,-109.370769208927,-51.7919963499288,-89.3961920683519,-116.883579652129,-55.3496512321828,-79.6029588183694,-104.079139864011,-49.2861709845287,-464.373906050515,-607.15879704054,-287.517098285015,-580.175121980212,-758.566371935711,-359.215419719901,-419.34299283394,-548.281855976502,-259.636208914488,-72.4888053066291,-94.7775386502684,-44.8814429242332,-81.2592462597668,-106.24469972293,-50.3116613337316,-67.4934795945723,-88.2462587686031,-41.7885870703497,-83.6501612969428,-109.370769208927,-51.7919963499288,-89.3961920683519,-116.883579652129,-55.3496512321828,-79.6029588183694,-104.079139864011,-49.2861709845287,1,0
Hip76001,Sco-Cen,2011MNRAS.416.3108R,2MASSJ15311722-3349115 ,232.821772,-33.819878,0.06,0.06,6.529,6.488,6.433,0.019,0.024,0.02,AAA,6014396640513030144,232.8220106175,-33.8202112253,0.613,0.531,8.953,0.0029313575043431,337.1136265203,18.2354172832,NA,NA,NA,0,0,NA,NA,NA,NA,4290000098,232.8217424,-33.8198979,37,35.8,-25.09,-32.55,4.2,4.74,NA,0,0,0,0,0,0,0,0,0,0,6014396640513030144,232.8220996995,-33.8201067666,0.613,0.531,-17.764,-25.071,0.985,0.942,9.05,-,---,-25.09[4.2],-32.55[4.74],---,-17.764,-25.071,0.985,0.942,HSOY,0,0,---,337.11363661096,18.2358659074053,-29.2754914786928,-9.33061282451399,0,0,0,0,0,0,0,0,CPSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hip76048,Sco-Cen,2011MNRAS.416.3108R,2MASSJ15315022-3252519 ,232.959266,-32.881088,0.06,0.06,6.253,6.286,6.247,0.021,0.053,0.021,AAA,6206717506433221632,232.9592034829,-32.8812073213,0.649,0.334,6.463,0.000892253204982901,337.8082312686,18.9146448283,6206717506433221632,232.9592733,-32.8808892,0,0,-13.4,-72.6,1.7,1.7,4290000102,232.9592653,-32.8811278,14,14.2,-20.74,-22.82,1.83,2.37,6206717506433221632,232.9592034829,-32.8812073213,0.649,0.334,-17.269,-22.233,0.035,0.02,5.95,0.78,6206717506433221632,232.9592892889,-32.8811149665,0.544,0.317,-17.297,-22.164,0.05,0.044,6.48,-,---,-13.4[1.7];-20.74[1.83],-72.6[1.7];-22.82[2.37],---,-17.269,-22.233,0.035,0.02,TGAS,0,0,---,337.808316802402,18.9147704993736,-27.2099089688775,-7.22118438383892,0,0,0,0,0,0,5.95,0.78,TGAS,173.850154295441,212.481003979752,158.161297271288,0,0,0,0,0,0,173.850154295441,212.481003979752,158.161297271288,0,0,0,0,0,0,0,0,0,0,0,0,152.280067821022,-62.1185605487046,56.3554924415575,186.117877363104,-75.9217854287053,68.8781189886438,138.537772213897,-56.5127604334018,51.2697721151965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.280067821022,-62.1185605487046,56.3554924415575,186.117877363104,-75.9217854287053,68.8781189886438,138.537772213897,-56.5127604334018,51.2697721151965,-87.9473884185476,-116.537653083138,-94.3827761446976,-107.489978736592,-142.433221465358,-115.355359417978,-80.010702896823,-106.020880264837,-85.8653383174042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87.9473884185476,-116.537653083138,-94.3827761446976,-107.489978736592,-142.433221465358,-115.355359417978,-80.010702896823,-106.020880264837,-85.8653383174042,0,0
Hip76071,US,1999AJ....117..354D,2MASSJ15321033-2158004,233.043055,-21.966801,0.06,0.06,7.107,7.074,6.992,0.056,0.034,0.018,AAA,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,6450000082,233.0430173,-21.9668294,27.3,25.2,-16.07,-23.58,1.99,1.88,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,Y,2012ApJ...745...56D,-16.07[1.99],-23.58[1.88],---,-16.07,-23.58,1.99,1.88,SPM4,0,0,---,345.303016219938,27.3872778563228,-27.5069176880752,-7.5914938781149,-28.4745279674274,1.86079473134254,0,0,7.46208011084811,0.820851155333464,7.46208011084811,0.820851155333464,CPSM,0,0,0,0,0,0,137.239390118387,160.059319270071,126.172286899392,137.239390118387,160.059319270071,126.172286899392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.870228324854,-30.916043519028,63.1304817647007,137.469486651094,-36.056709927892,73.6277094187974,108.365071079602,-28.4229470075024,58.0395850669511,117.870228324854,-30.916043519028,63.1304817647007,137.469486651094,-36.056709927892,73.6277094187974,108.365071079602,-28.4229470075024,58.0395850669511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76.5201529179063,-101.704594715681,-51.3370413172227,-89.2437920040046,-118.615859359239,-59.8732760287401,-70.3495015477328,-93.5030481582851,-47.1971778660266,-76.5201529179063,-101.704594715681,-51.3370413172227,-89.2437920040046,-118.615859359239,-59.8732760287401,-70.3495015477328,-93.5030481582851,-47.1971778660266,1,0
Hip76084,Sco-Cen,2011MNRAS.416.3108R,2MASSJ15322013-3108337 ,233.083913,-31.142708,0.06,0.06,7.764,7.562,7.507,0.026,0.031,0.027,AAA,6208562246425619456,233.0837970203,-31.1428377983,0.379,0.161,8.488,0.00339474573945373,339.0211775698,20.2288101425,6208562246425619456,233.0838906,-31.1427461,0,0,-18.3,-20.9,1.8,1.8,5010000086,233.0838995,-31.1427367,15.3,15,-19.33,-24.02,3.53,3.96,6208562246425619456,233.0837970203,-31.1428377983,0.379,0.161,-18.845,-22.491,0.057,0.042,7.75,0.524309069156733,6208562246425619456,233.0838883287,-31.1427442409,0.355,0.159,-18.757,-22.454,0.045,0.042,8.61,-,---,-18.3[1.8];-19.33[3.53],-20.9[1.8];-24.02[3.96],-1.4[0.3];-2.5[1.3],-18.845,-22.491,0.057,0.042,TGAS,-1.4,0.3,2011ApJ...738..122C,339.021309661529,20.2289132702151,-28.6723161004262,-6.23517405027665,0,0,0,0,0,0,7.75,0.524309069156733,TGAS,130.176472888787,141.207983275482,122.92273453384,0,0,0,0,0,0,130.176472888787,141.207983275482,122.92273453384,-6.26084487860883,-16.5679432605264,-4.0086213764641,18.1594043905043,-5.63699761879961,-15.4814428436147,-2.72199437459934,20.2033944861595,-7.03276885312753,-18.1543907996598,-5.39772227102197,16.6991038097801,114.050332973218,-43.7311595648438,45.0113466314587,123.715270153341,-47.4370576450133,48.8257312653723,107.69518095286,-41.2943567970135,42.503208838024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.050332973218,-43.7311595648438,45.0113466314587,123.715270153341,-47.4370576450133,48.8257312653723,107.69518095286,-41.2943567970135,42.503208838024,-66.9212393660628,-89.0786217523641,-67.3235542895236,-72.5923282408391,-96.6273878180509,-73.0287364313734,-63.192230967096,-84.1149520440681,-63.5721279595259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66.9212393660628,-89.0786217523641,-67.3235542895236,-72.5923282408391,-96.6273878180509,-73.0287364313734,-63.192230967096,-84.1149520440681,-63.5721279595259,0,0
Hip76126,Sco-Cen,2011MNRAS.416.3108R,2MASSJ15325521-1651101 ,233.230061,-16.852829,0.06,0.06,5.78,5.88,5.891,0.021,0.029,0.017,AAA,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,-,---,---,---,1.8[1.2];1.8[1.1],0,0,0,0,---,1.8,1.1,2007AN....328..889K,349.323713042138,31.1138217496511,0,0,0,0,0,0,0,0,0,0,CPSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hip76143,Sco-Cen,2011MNRAS.416.3108R,2MASSJ15330951-2429253 ,233.289625,-24.490387,0.07,0.07,6.565,6.453,6.409,0.019,0.042,0.023,AAA,6238804588626018304,233.2895487889,-24.4905617199,0.997,0.395,6.953,0.00069381310000078,343.6870411226,25.3078077922,6238804588626018304,233.2896683,-24.4903711,0,0,-25,-43.9,2.5,2.5,5730000089,233.2896583,-24.4904051,47.8,46.6,-27.32,-32.78,2.9,2.88,6238804588626018304,233.2895487889,-24.4905617199,0.997,0.395,-24.748,-33.503,0.111,0.055,11.79,0.996242942258564,6238804588626018304,233.2896583538,-24.4904254178,0.968,0.394,-23.932,-32.712,0.173,0.21,6.97,-,---,-25[2.5];-27.32[2.9],-43.9[2.5];-32.78[2.88],-3.6[0.6],-24.748,-33.503,0.111,0.055,TGAS,-3.6,0.6,2006AstL...32..759G,343.687182389164,25.3079545587142,-40.4376408864317,-9.98557522329012,0,0,0,0,0,0,11.79,0.996242942258564,TGAS,86.0238503830829,95.7909676501177,80.2991114725687,0,0,0,0,0,0,86.0238503830829,95.7909676501177,80.2991114725687,-6.04532484331502,-15.4423452198839,-5.13800070896971,17.3611932088968,-4.97686472497496,-14.1635204936323,-3.5419002037086,20.1595379686069,-7.25335231692638,-17.4970678418591,-6.90278698871851,15.4246410758006,74.636828331819,-21.8434618870786,36.7737659763773,83.1110671796511,-24.323560752905,40.9490462392613,69.6698761039684,-20.3898171635696,34.3265352603187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.636828331819,-21.8434618870786,36.7737659763773,83.1110671796511,-24.323560752905,40.9490462392613,69.6698761039684,-20.3898171635696,34.3265352603187,-46.7960648371696,-62.7580175552412,-35.6603755311481,-52.1092733353361,-69.8835404675382,-39.7092418402957,-43.6818674135563,-58.5815797017237,-33.2872390293802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-46.7960648371696,-62.7580175552412,-35.6603755311481,-52.1092733353361,-69.8835404675382,-39.7092418402957,-43.6818674135563,-58.5815797017237,-33.2872390293802,0,0
2MASSJ15350863-2532397,US,2012ApJ...758...31L,2MASSJ15350863-2532397,233.785998,-25.544369,0.06,0.06,14.663,14.019,13.599,0.035,0.042,0.048,AAA,6237943400436424704,233.7859356163,-25.5444396266,0.759,0.422,18.468,0.0069128372542414,343.3267267217,24.2096583828,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,-,---,---,---,---,0,0,0,0,---,0,0,---,343.326783136875,24.2097344821775,0,0,0,0,0,0,0,0,0,0,CPSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hip76310,US,1999AJ....117..354D,2MASSJ15351610-2544030,233.81709,-25.734186,0.06,0.06,7.159,7.18,7.172,0.021,0.044,0.018,AAA,6237729747288281088,233.8170233949,-25.734262483,0.501,0.307,7.325,0.000668895126146401,343.2174329574,24.0457405347,6237729747288281088,233.8171128,-25.7341039,0,0,-18.5,-36.5,2,2,5730000100,233.8171573,-25.7341622,34.8,33.9,-16,-26.96,2.1,2.07,6237729747288281088,233.8170233949,-25.734262483,0.501,0.307,-18.428,-23.482,0.042,0.023,7.44,0.61773780845922,6237729747288281088,233.8171085879,-25.7341645364,0.448,0.293,-18.418,-23.508,0.047,0.044,7.3,-,---,-18.5[2];-16[2.1],-36.5[2];-26.96[2.07],-2.54[0.6],-18.428,-23.482,0.042,0.023,TGAS,-2.54,0.6,2012ApJ...745...56D,343.217496594323,24.0458189783438,-29.178505628036,-6.29367280009638,-29.5231243591676,4.40234438374849,11.3084973925129,3.4787602208631,7.61525984281725,0.630231251903039,7.44,0.61773780845922,TGAS,136.21593839697,151.299674148514,127.282821578587,115.984296203791,1165.9732996404,224.696773399032,133.071446169093,147.741746216548,124.366103941668,136.21593839697,151.299674148514,127.282821578587,-6.01642673170136,-17.8875397137281,-4.66146402566644,19.4394113720224,-4.92598971923443,-16.4902124113994,-2.91976237205054,22.3878934246096,-7.27949268230394,-20.1271400416471,-6.56696216099095,17.4561591536144,119.096834103155,-35.9177736707159,55.5035090288169,132.284902956171,-39.8950924280405,61.6496346094686,111.286397642756,-33.5622661447045,51.8635581110346,101.40782823298,-30.5830415253207,47.2597811042302,1019.43818227273,-307.446878650387,475.095721730828,196.457732185722,-59.2486308611452,91.5565354382686,116.347529773505,-35.088625764242,54.2222320004826,129.174121959094,-38.9569287175306,60.1998961469969,108.736242054374,-32.7931784360481,50.6750917274355,119.096834103155,-35.9177736707159,55.5035090288169,132.284902956171,-39.8950924280405,61.6496346094686,111.286397642756,-33.5622661447045,51.8635581110346,-72.4411937606121,-99.0403103467773,-59.1445030946973,-80.4628969259721,-110.007440093871,-65.693810513018,-67.6904600803815,-92.5451918425215,-55.2657737658985,-61.6817750798094,-84.3302246900027,-50.3599919839779,-620.077934439641,-847.759511929553,-506.261691843619,-119.496313652718,-163.373232481102,-97.5625845702295,-70.768916834438,-96.7540031069857,-57.7791751272685,-78.5707501644475,-107.42053072981,-64.1489701510213,-66.1393162864355,-90.4244956644249,-53.9993447610905,-72.4411937606121,-99.0403103467773,-59.1445030946973,-80.4628969259721,-110.007440093871,-65.693810513018,-67.6904600803815,-92.5451918425215,-55.2657737658985,1,1
2MASSJ15354856-2958551,US,2012ApJ...758...31L,2MASSJ15354856-2958551,233.952353,-29.981995,0.06,0.06,10.342,9.77,9.463,0.027,0.029,0.026,AAA,6209142346182157312,233.9523429648,-29.9821095928,10.311,7.814,13.623,0.0532680733986575,340.41484858,20.6776512191,NA,NA,NA,0,0,NA,NA,NA,NA,5010034808,233.9523261,-29.9819926,38.3,37.7,-33.87,-38.14,2.75,2.67,NA,0,0,0,0,0,0,0,0,0,0,6209142346182156288,233.9522836259,-29.9820076664,3.376,1.902,-41.096,-40.788,2.37,2.369,12.28,-,---,-33.87[2.75],-38.14[2.67],---,-41.096,-40.788,2.37,2.369,HSOY,0,0,---,340.414895009775,20.6777963400108,-57.5750273566269,-6.13664280235211,0,0,0,0,0,0,0,0,CPSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2MASSJ15355111-2021008,US,2012ApJ...758...31L,2MASSJ15355111-2021008,233.962985,-20.350224,0.06,0.06,14.799,14.219,13.736,0.033,0.036,0.038,AAA,6253519077862593536,233.9629176732,-20.3503484898,2.047,1.221,19.024,0.00641552819522116,347.2312019229,28.0470518677,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,-,---,---,---,---,0,0,0,0,---,0,0,---,347.231304249775,28.0471575989722,0,0,0,0,0,0,0,0,0,0,CPSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2MASSJ15355780-2324046,US,2012ApJ...758...31L,2MASSJ15355780-2324046,233.990839,-23.401278,0.06,0.06,10.161,9.605,9.425,0.023,0.027,0.025,AAA,6239395095087639552,233.9907913365,-23.4013764472,0.176,0.106,11.791,0.00201471506475844,345.0076896777,25.7280770597,6239395095087639552,233.9908583,-23.4012842,0,0,-14.4,-21.6,1,1,5730038237,233.9908392,-23.4012872,22.6,21.5,-17.37,-19.81,1.26,1.2,NA,0,0,0,0,0,0,0,0,0,0,6239395095087639552,233.9908434724,-23.4012850979,0.176,0.106,-11.483,-21.924,1.113,1.144,0,-,---,-14.4[1];-17.37[1.26],-21.6[1];-19.81[1.2],---,-11.483,-21.924,1.113,1.144,HSOY,0,0,---,345.007755333431,25.7281799131632,-22.9750633463782,-9.20149603216293,-24.7316544200955,-0.930770994913861,0,0,6.48276790304835,0.638988721196574,6.48276790304835,0.638988721196574,CPSM,0,0,0,0,0,0,157.186232506323,179.321570119889,145.46129373474,157.186232506323,179.321570119889,145.46129373474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.783301227966,-36.6311320890145,68.234891049876,156.045449727246,-41.7896148837775,77.8438900463571,126.58027131688,-33.8987186070629,63.1450692067751,136.783301227966,-36.6311320890145,68.234891049876,156.045449727246,-41.7896148837775,77.8438900463571,126.58027131688,-33.8987186070629,63.1450692067751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84.8107959007192,-116.692805283799,-62.4293983890263,-96.7540530842778,-133.125762552668,-71.2208541566129,-78.484533267857,-107.988378851403,-57.7726236703585,-84.8107959007192,-116.692805283799,-62.4293983890263,-96.7540530842778,-133.125762552668,-71.2208541566129,-78.484533267857,-107.988378851403,-57.7726236703585,1,0
Hip76395,Sco-Cen,2011MNRAS.416.3108R,2MASSJ15361135-3305342 ,234.047332,-33.092838,0.06,0.06,6.398,6.49,6.433,0.021,0.049,0.026,AAA,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,4290000114,234.0473133,-33.0928312,14.7,15,-24.11,-28.18,1.91,2.5,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,-,---,-24.11[1.91],-28.18[2.5],---,-24.11,-28.18,1.91,2.5,SPM4,0,0,---,338.433492682883,18.1891616950687,-36.3599051527792,-7.30491596672427,0,0,0,0,0,0,0,0,CPSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hip76501,Sco-Cen,2011MNRAS.416.3108R,2MASSJ15372791-3229060 ,234.366317,-32.485027,0.06,0.06,7.722,7.57,7.516,0.024,0.059,0.023,AAA,6016081569067968512,234.3661725407,-32.4851517197,0.293,0.202,8.489,0.000508079113303972,339.0517910632,18.5001332381,6016081569067968512,234.3663156,-32.4850244,0,0,-27.5,-29,2.2,2.1,4290000121,234.3663136,-32.4850235,11.2,11,-26.88,-30.17,2.62,2.94,6016081569067968512,234.3661725407,-32.4851517197,0.293,0.202,-26.217,-29.646,0.067,0.049,4.36,0.566038867923396,6016081569067968512,234.3663021689,-32.4850283486,0.281,0.198,-26.243,-29.609,0.044,0.043,8.61,Y,2011ApJ...738..122C,-27.5[2.2];-26.88[2.62],-29[2.1];-30.17[2.94],-20.4[1.8];-2.4[1.3],-26.217,-29.646,0.067,0.049,TGAS,-2.4,1.3,2007AN....328..889K,339.051937597432,18.5002183919727,-38.9676792442065,-6.90915185248086,0,0,0,0,0,0,4.36,0.566038867923396,TGAS,236.881283689397,288.432480863722,215.641282654056,0,0,0,0,0,0,236.881283689397,288.432480863722,215.641282654056,-15.3054533430892,-41.0306597822333,-7.90865080512338,44.5007719231951,-12.8742366672498,-36.7676601004841,-1.38749048957319,56.3989518157355,-19.4319217842042,-50.6729332117911,-15.3458796228689,38.9811740316751,209.792245051132,-80.3135783498008,75.164390580865,255.448200734216,-97.7917895820355,91.5220118288269,190.981187323433,-73.1122475366055,68.4247625744088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.792245051132,-80.3135783498008,75.164390580865,255.448200734216,-97.7917895820355,91.5220118288269,190.981187323433,-73.1122475366055,68.4247625744088,-116.413502083936,-162.402866374996,-127.2240075146,-141.747945169578,-197.745726966509,-154.911082637398,-105.975265401495,-147.840985435216,-115.816445003779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-116.413502083936,-162.402866374996,-127.2240075146,-141.747945169578,-197.745726966509,-154.911082637398,-105.975265401495,-147.840985435216,-115.816445003779,0,0
